edad,ingresos,gastos_fijos,gastos_variables,num_hobbies,creditos_activos,antiguedad_laboral,tomara_credito
22,2050000,1014098,230445,7,0,9,1
55,8100000,4491945,1552384,6,4,26,0
49,11550000,6565284,1453059,8,2,1,0
39,10500000,4215258,1369886,8,1,13,1
38,3850000,1571223,871857,6,0,24,1
59,5850000,3041696,1044725,3,6,29,0
22,6700000,2182727,1905282,5,5,7,0
51,3550000,1899082,581601,3,5,20,0
27,3800000,1511095,931896,5,0,5,0
22,3450000,849882,663158,7,2,3,1
43,11900000,2723001,2760684,3,6,10,0
64,9150000,4911695,2012442,4,4,27,0
53,10200000,2266717,1984479,0,0,21,1
54,9900000,3091221,2871120,6,0,15,0
52,11500000,3836998,1938241,4,1,8,1
55,1950000,524935,264121,4,6,4,1
42,10650000,3467185,2509340,4,1,8,1
24,1500000,745615,403802,1,6,4,0
58,6100000,1255826,659109,5,4,5,0
39,7450000,3954976,1414952,6,6,21,0
42,4800000,2604572,1336788,3,5,4,0
35,2400000,837371,599816,1,2,1,0
26,2950000,771263,880166,3,5,16,0
62,10000000,4403361,2062827,1,1,8,1
55,4350000,1078230,1009196,3,2,14,1
48,4250000,1470362,682108,5,1,4,0
37,11100000,6475425,3213529,1,0,6,0
57,2400000,1435645,415841,6,0,13,1
44,11050000,5622703,2737108,2,1,21,1
39,11100000,3600669,2004971,8,0,12,1
39,7500000,3562995,1592728,6,2,16,1
28,2650000,1277730,646484,2,0,16,1
22,2500000,887841,504467,5,0,8,1
44,3950000,1802604,1111598,0,6,8,0
60,7250000,1481110,1332986,0,0,13,1
21,2500000,709057,573535,8,0,0,1
59,5900000,2419208,993987,7,0,21,1
57,2050000,544276,372344,1,0,19,1
31,6850000,1824584,1287868,2,3,9,0
48,1000000,534521,125161,1,5,11,0
25,8700000,5182182,1029599,3,5,10,0
54,1400000,591342,326897,2,4,20,0
51,2950000,1580102,681755,2,0,23,1
35,2750000,1639353,639600,4,5,3,0
21,10100000,2592047,1049928,1,0,12,1
64,1350000,512052,223167,7,4,0,1
39,5600000,1999362,781547,6,2,14,1
60,7400000,1716945,1891664,6,6,7,1
50,6550000,3288965,1782425,1,2,10,0
55,8400000,3137497,1254423,6,4,14,0
54,9750000,3780375,2277305,7,3,10,0
27,5200000,1353399,654537,1,3,12,0
35,10050000,2737325,1558056,6,6,23,0
40,4350000,2448360,555629,3,4,25,0
41,11800000,2570743,1849109,7,2,0,0
20,6450000,1890758,1515410,4,3,11,0
44,9000000,2851413,2538588,7,4,26,0
25,10600000,4198437,1489347,1,2,16,1
53,9650000,4193678,2011212,3,1,6,1
50,10300000,4092354,2474865,2,3,18,0
62,6800000,1588793,1975974,2,0,4,1
53,1250000,371833,277515,2,1,0,1
35,6300000,3385842,951434,3,2,19,1
64,2800000,1274099,630267,1,5,15,0
37,10750000,4941340,1764055,6,5,23,0
33,3450000,1614880,1018528,4,1,10,1
61,3350000,1692290,602783,7,2,26,1
35,3550000,792514,841653,6,1,13,1
21,7950000,2755814,831931,1,5,22,0
40,7150000,2973048,1287087,0,1,3,1
56,11400000,3823361,3135245,3,5,3,1
27,5450000,2930963,1210147,4,5,24,1
40,3950000,1552464,745714,2,4,25,0
24,1350000,685058,387703,7,2,29,0
50,850000,459685,230177,5,6,10,0
40,4950000,1989487,813993,6,4,0,0
33,11150000,6286603,2329342,0,4,30,0
28,6650000,2891749,1316466,7,5,18,0
45,10800000,5833184,2445557,1,6,7,0
50,1900000,638849,316962,4,0,23,1
63,1800000,719148,267913,3,6,28,0
38,10100000,4166900,2853597,7,5,8,0
25,1950000,471884,555311,2,1,23,1
57,1350000,485218,362697,2,2,24,0
48,5300000,3004755,1566896,3,5,15,0
51,11150000,5043511,2776331,3,1,19,1
22,8500000,2303522,2149934,1,3,8,0
32,1900000,637530,479784,1,4,28,0
54,10150000,2807908,1990633,2,4,30,0
57,10200000,2141278,1951162,4,6,30,1
38,9750000,5567095,1443441,3,0,22,1
56,10900000,4134183,2495705,3,2,1,1
58,3450000,1114398,544630,6,6,11,0
36,11750000,5162842,1780849,2,3,13,0
61,4350000,882727,944786,8,1,29,1
31,9750000,3034286,1774465,6,2,16,0
29,7250000,3488797,1042342,1,2,16,1
50,9500000,4308325,2500506,2,3,4,0
48,7800000,4623234,2122489,1,1,24,1
24,7950000,3562737,1061642,2,4,10,1
57,7700000,3010718,781560,3,3,2,1
27,9500000,4793443,1588646,1,4,30,0
56,9050000,5080046,2348494,0,1,5,1
